product_id,brand,product_name,price,capacity_L,size_cm,powerconsumptiongrade,door_count,image,numberofusers
230,SMEG,냉장고 FAB28 핑크,3350000,266,60*72*153,1,10,https://smegkorea.com/upload/product/2022082215071777082.png,2
231,LG전자,LG전자  B322W02,979990,311,60 * 169 * 66.5,2,20,https://photo3.enuri.info/data/images/service/middle/27159000/27159140.jpg,2
232,위니아,위니아  EWRG244EEMPS,352290,243,55.3 * 160.5 * 62.9,2,20,https://photo3.enuri.info/data/images/service/big/67034000/67034441.jpg,2
233,삼성전자,삼성전자  RS84B5071SL,1965130,846,91.2 * 178 * 91.5,2,20,https://image.enuri.info/webimage_300/5297800000/5297800000/5297804763,4
234,SMEG,냉장고 FAB28 라임,3350000,266,60*72*153,1,10,https://smegkorea.com/upload/product/2022082210362163527.png,2
235,LG전자,LG전자  C052AR,629600,500,,1,20,https://photo3.enuri.info/data/images/service/middle/75782000/75782613.jpg,2
236,캐리어,캐리어  CSC-300FDWB,394680,300,,-1,10,https://photo3.enuri.info/data/images/service/dnw/master/56826000/56826613.jpg,2
237,SMEG,FAB50 크림,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022021517354956199.png,2
238,삼성전자,삼성전자  RT31CG5624S9,552100,298,60 * 171.5 * 64.7,1,20,https://image.enuri.info/webimage_300/9424200000/9424240000/9424249027.jpg,2
239,LG전자,LG전자  B267WM,961040,254,55.5 * 166.5 * 62,2,20,https://photo3.enuri.info/data/images/service/middle/12997000/12997282.jpg,2
240,위니아,위니아 프라우드 WRE929PMSB,1922790,920,95.5 * 184 * 93.5,2,40,https://image.enuri.info/webimage_300/4975400000/4975420000/4975423475.jpg,4
241,삼성전자,삼성전자  RH81R9161SL,1149990,812,91.2 * 177.8 * 91.8,2,30,https://image.enuri.info/webimage_300/16441200000/16441270000/16441271656,4
242,SMEG,FAB50 파스텔블루,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022021514172580965.png,2
243,LG전자,LG전자  C120AR,1059700,110,,2,40,https://photo3.enuri.info/data/images/service/middle/28290000/28290446.jpg,1
244,캐리어,캐리어 클라윈드 CRF-TD46VBSA,116580,46,47.4 * 49.6 * 44.7,4,10,https://image.enuri.info/webimage_300/200800000/200820000/200827653.jpg,1
245,SMEG,FAB50 파스텔그린,4500000,440,79*73*187,3,20,https://smegkorea.com/upload/product/2022012416493459211.png,2
246,삼성전자,삼성전자  RT50K6035SL,577670,499,79 * 178.5 * 72,3,20,https://image.enuri.info/webimage_300/17041600000/17041610000/17041616691.jpg,2
247,LG전자,LG전자  B107S,1116700,96,46.3 * 82 * 50,4,10,https://photo3.enuri.info/data/images/service/middle/28290000/28290306.jpg,1
